latitude_bin,longitude_bin,updated_type,updated_subtype,alert_count
41.66,-87.61,Accident,Unclassified,2
41.66,-87.61,Hazard,Road,29
41.66,-87.61,Hazard,Shoulder,10
41.66,-87.61,Hazard,Unclassified,1
41.66,-87.61,Traffic Jam,Heavy,1
41.66,-87.61,Traffic Jam,Standstill,6
41.66,-87.61,Traffic Jam,Unclassified,2
41.66,-87.6,Accident,Unclassified,3
41.66,-87.6,Hazard,Road,41
41.66,-87.6,Hazard,Shoulder,41
41.66,-87.6,Hazard,Weather,7
41.66,-87.6,Traffic Jam,Unclassified,8
41.66,-87.59,Accident,Major,63
41.66,-87.59,Accident,Minor,13
41.66,-87.59,Accident,Unclassified,113
41.66,-87.59,Hazard,Road,757
41.66,-87.59,Hazard,Shoulder,2498
41.66,-87.59,Hazard,Unclassified,21
41.66,-87.59,Hazard,Weather,221
41.66,-87.59,Road Closure,Event,5
41.66,-87.59,Road Closure,Unclassified,4
41.66,-87.59,Traffic Jam,Heavy,317
41.66,-87.59,Traffic Jam,Moderate,14
41.66,-87.59,Traffic Jam,Standstill,162
41.66,-87.59,Traffic Jam,Unclassified,117
41.66,-87.58,Accident,Major,4
41.66,-87.58,Accident,Minor,5
41.66,-87.58,Accident,Unclassified,25
41.66,-87.58,Hazard,Road,221
41.66,-87.58,Hazard,Shoulder,454
41.66,-87.58,Hazard,Unclassified,4
41.66,-87.58,Hazard,Weather,25
41.66,-87.58,Road Closure,Unclassified,2
41.66,-87.58,Traffic Jam,Heavy,29
41.66,-87.58,Traffic Jam,Standstill,13
41.66,-87.58,Traffic Jam,Unclassified,19
41.66,-87.57,Accident,Major,4
41.66,-87.57,Accident,Minor,3
41.66,-87.57,Accident,Unclassified,13
41.66,-87.57,Hazard,Road,82
41.66,-87.57,Hazard,Shoulder,40
41.66,-87.57,Hazard,Unclassified,1
41.66,-87.57,Hazard,Weather,7
41.66,-87.57,Traffic Jam,Heavy,61
41.66,-87.57,Traffic Jam,Moderate,3
41.66,-87.57,Traffic Jam,Standstill,39
41.66,-87.57,Traffic Jam,Unclassified,21
41.66,-87.56,Accident,Major,1
41.66,-87.56,Accident,Minor,5
41.66,-87.56,Accident,Unclassified,9
41.66,-87.56,Hazard,Road,74
41.66,-87.56,Hazard,Shoulder,46
41.66,-87.56,Hazard,Unclassified,1
41.66,-87.56,Hazard,Weather,13
41.66,-87.56,Traffic Jam,Heavy,4
41.66,-87.56,Traffic Jam,Standstill,4
41.66,-87.56,Traffic Jam,Unclassified,5
41.67,-87.66,Hazard,Road,1
41.67,-87.66,Traffic Jam,Unclassified,1
41.67,-87.64,Accident,Minor,1
41.67,-87.64,Accident,Unclassified,2
41.67,-87.64,Hazard,Road,33
41.67,-87.64,Hazard,Shoulder,2
41.67,-87.64,Hazard,Weather,1
41.67,-87.64,Traffic Jam,Heavy,3
41.67,-87.64,Traffic Jam,Standstill,1
41.67,-87.64,Traffic Jam,Unclassified,5
41.67,-87.63,Hazard,Road,5
41.67,-87.63,Hazard,Weather,2
41.67,-87.63,Road Closure,Unclassified,1
41.67,-87.63,Traffic Jam,Unclassified,2
41.67,-87.62,Hazard,Road,8
41.67,-87.62,Traffic Jam,Heavy,1
41.67,-87.62,Traffic Jam,Unclassified,2
41.67,-87.6,Accident,Major,54
41.67,-87.6,Accident,Minor,5
41.67,-87.6,Accident,Unclassified,48
41.67,-87.6,Hazard,Road,263
41.67,-87.6,Hazard,Shoulder,1688
41.67,-87.6,Hazard,Unclassified,5
41.67,-87.6,Hazard,Weather,18
41.67,-87.6,Road Closure,Event,1
41.67,-87.6,Road Closure,Unclassified,1
41.67,-87.6,Traffic Jam,Heavy,192
41.67,-87.6,Traffic Jam,Moderate,5
41.67,-87.6,Traffic Jam,Standstill,81
41.67,-87.6,Traffic Jam,Unclassified,77
41.67,-87.59,Accident,Major,9
41.67,-87.59,Accident,Minor,8
41.67,-87.59,Accident,Unclassified,25
41.67,-87.59,Hazard,Road,104
41.67,-87.59,Hazard,Shoulder,567
41.67,-87.59,Hazard,Unclassified,5
41.67,-87.59,Hazard,Weather,9
41.67,-87.59,Traffic Jam,Heavy,65
41.67,-87.59,Traffic Jam,Moderate,5
41.67,-87.59,Traffic Jam,Standstill,21
41.67,-87.59,Traffic Jam,Unclassified,14
41.67,-87.58,Hazard,Road,6
41.67,-87.58,Hazard,Shoulder,2
41.67,-87.58,Road Closure,Construction,1
41.67,-87.57,Hazard,Road,5
41.67,-87.57,Hazard,Shoulder,5
41.67,-87.57,Traffic Jam,Standstill,1
41.67,-87.56,Accident,Unclassified,1
41.67,-87.56,Hazard,Road,16
41.67,-87.56,Hazard,Shoulder,12
41.67,-87.56,Hazard,Weather,1
41.67,-87.56,Road Closure,Event,1
41.67,-87.56,Traffic Jam,Heavy,2
41.67,-87.56,Traffic Jam,Standstill,27
41.67,-87.56,Traffic Jam,Unclassified,3
41.68,-87.72,Accident,Minor,1
41.68,-87.72,Accident,Unclassified,2
41.68,-87.72,Hazard,Road,26
41.68,-87.72,Hazard,Unclassified,8
41.68,-87.72,Hazard,Weather,1
41.68,-87.72,Traffic Jam,Heavy,2
41.68,-87.72,Traffic Jam,Standstill,1
41.68,-87.72,Traffic Jam,Unclassified,2
41.68,-87.71,Accident,Unclassified,3
41.68,-87.71,Hazard,Road,9
41.68,-87.71,Traffic Jam,Unclassified,1
41.68,-87.7,Hazard,Road,9
41.68,-87.7,Traffic Jam,Heavy,1
41.68,-87.68,Hazard,Road,40
41.68,-87.68,Hazard,Unclassified,1
41.68,-87.68,Hazard,Weather,2
41.68,-87.68,Road Closure,Event,2
41.68,-87.68,Traffic Jam,Standstill,1
41.68,-87.68,Traffic Jam,Unclassified,3
41.68,-87.67,Accident,Unclassified,3
41.68,-87.67,Hazard,Road,36
41.68,-87.67,Hazard,Shoulder,3
41.68,-87.67,Hazard,Weather,3
41.68,-87.67,Traffic Jam,Heavy,3
41.68,-87.67,Traffic Jam,Standstill,4
41.68,-87.67,Traffic Jam,Unclassified,4
41.68,-87.66,Accident,Major,5
41.68,-87.66,Accident,Unclassified,3
41.68,-87.66,Hazard,Road,23
41.68,-87.66,Hazard,Shoulder,30
41.68,-87.66,Hazard,Weather,6
41.68,-87.66,Road Closure,Unclassified,2
41.68,-87.66,Traffic Jam,Heavy,3
41.68,-87.66,Traffic Jam,Standstill,4
41.68,-87.66,Traffic Jam,Unclassified,7
41.68,-87.65,Hazard,Road,7
41.68,-87.65,Hazard,Weather,3
41.68,-87.65,Traffic Jam,Unclassified,2
41.68,-87.64,Accident,Minor,1
41.68,-87.64,Accident,Unclassified,5
41.68,-87.64,Hazard,Road,20
41.68,-87.64,Hazard,Shoulder,3
41.68,-87.64,Hazard,Unclassified,3
41.68,-87.64,Hazard,Weather,1
41.68,-87.64,Road Closure,Unclassified,2
41.68,-87.64,Traffic Jam,Heavy,4
41.68,-87.64,Traffic Jam,Standstill,1
41.68,-87.64,Traffic Jam,Unclassified,9
41.68,-87.63,Accident,Unclassified,2
41.68,-87.63,Hazard,Road,7
41.68,-87.63,Hazard,Weather,2
41.68,-87.63,Road Closure,Unclassified,3
41.68,-87.63,Traffic Jam,Unclassified,1
41.68,-87.62,Accident,Unclassified,2
41.68,-87.62,Hazard,Road,17
41.68,-87.62,Hazard,Shoulder,1
41.68,-87.62,Hazard,Weather,2
41.68,-87.62,Traffic Jam,Unclassified,7
41.68,-87.61,Hazard,Road,1
41.68,-87.61,Hazard,Shoulder,1
41.68,-87.61,Traffic Jam,Unclassified,1
41.68,-87.6,Accident,Major,35
41.68,-87.6,Accident,Minor,6
41.68,-87.6,Accident,Unclassified,84
41.68,-87.6,Hazard,Road,409
41.68,-87.6,Hazard,Shoulder,1988
41.68,-87.6,Hazard,Unclassified,14
41.68,-87.6,Hazard,Weather,22
41.68,-87.6,Road Closure,Construction,1
41.68,-87.6,Road Closure,Event,2
41.68,-87.6,Road Closure,Unclassified,15
41.68,-87.6,Traffic Jam,Heavy,329
41.68,-87.6,Traffic Jam,Moderate,13
41.68,-87.6,Traffic Jam,Standstill,138
41.68,-87.6,Traffic Jam,Unclassified,123
41.68,-87.58,Hazard,Road,2
41.68,-87.58,Hazard,Shoulder,3
41.68,-87.56,Hazard,Road,14
41.68,-87.56,Hazard,Shoulder,10
41.68,-87.56,Traffic Jam,Standstill,1
41.68,-87.56,Traffic Jam,Unclassified,1
41.69,-87.73,Traffic Jam,Unclassified,1
41.69,-87.72,Accident,Unclassified,4
41.69,-87.72,Hazard,Road,14
41.69,-87.72,Hazard,Shoulder,1
41.69,-87.72,Hazard,Unclassified,2
41.69,-87.72,Hazard,Weather,1
41.69,-87.72,Traffic Jam,Heavy,3
41.69,-87.72,Traffic Jam,Standstill,4
41.69,-87.72,Traffic Jam,Unclassified,4
41.69,-87.71,Accident,Minor,1
41.69,-87.71,Accident,Unclassified,3
41.69,-87.71,Hazard,Road,11
41.69,-87.71,Hazard,Shoulder,4
41.69,-87.71,Hazard,Unclassified,3
41.69,-87.71,Traffic Jam,Heavy,5
41.69,-87.71,Traffic Jam,Standstill,2
41.69,-87.71,Traffic Jam,Unclassified,8
41.69,-87.7,Accident,Unclassified,3
41.69,-87.7,Hazard,Road,40
41.69,-87.7,Hazard,Shoulder,2
41.69,-87.7,Hazard,Unclassified,2
41.69,-87.7,Hazard,Weather,2
41.69,-87.7,Traffic Jam,Heavy,18
41.69,-87.7,Traffic Jam,Moderate,1
41.69,-87.7,Traffic Jam,Standstill,35
41.69,-87.7,Traffic Jam,Unclassified,17
41.69,-87.69,Accident,Minor,1
41.69,-87.69,Accident,Unclassified,1
41.69,-87.69,Hazard,Road,9
41.69,-87.69,Hazard,Shoulder,2
41.69,-87.69,Hazard,Weather,3
41.69,-87.69,Traffic Jam,Heavy,15
41.69,-87.69,Traffic Jam,Moderate,1
41.69,-87.69,Traffic Jam,Standstill,25
41.69,-87.69,Traffic Jam,Unclassified,7
41.69,-87.68,Accident,Unclassified,6
41.69,-87.68,Hazard,Road,36
41.69,-87.68,Hazard,Shoulder,7
41.69,-87.68,Hazard,Weather,4
41.69,-87.68,Road Closure,Event,48
41.69,-87.68,Traffic Jam,Heavy,9
41.69,-87.68,Traffic Jam,Standstill,2
41.69,-87.68,Traffic Jam,Unclassified,12
41.69,-87.67,Accident,Major,2
41.69,-87.67,Accident,Unclassified,4
41.69,-87.67,Hazard,Road,38
41.69,-87.67,Hazard,Shoulder,15
41.69,-87.67,Hazard,Weather,5
41.69,-87.67,Traffic Jam,Heavy,17
41.69,-87.67,Traffic Jam,Moderate,1
41.69,-87.67,Traffic Jam,Standstill,12
41.69,-87.67,Traffic Jam,Unclassified,9
41.69,-87.66,Accident,Major,9
41.69,-87.66,Accident,Minor,2
41.69,-87.66,Accident,Unclassified,18
41.69,-87.66,Hazard,Road,166
41.69,-87.66,Hazard,Shoulder,165
41.69,-87.66,Hazard,Unclassified,2
41.69,-87.66,Hazard,Weather,9
41.69,-87.66,Road Closure,Event,2
41.69,-87.66,Road Closure,Unclassified,19
41.69,-87.66,Traffic Jam,Heavy,43
41.69,-87.66,Traffic Jam,Standstill,49
41.69,-87.66,Traffic Jam,Unclassified,25
41.69,-87.65,Accident,Unclassified,1
41.69,-87.65,Hazard,Road,24
41.69,-87.65,Hazard,Weather,2
41.69,-87.65,Road Closure,Unclassified,3
41.69,-87.65,Traffic Jam,Heavy,2
41.69,-87.65,Traffic Jam,Unclassified,5
41.69,-87.64,Accident,Unclassified,4
41.69,-87.64,Hazard,Road,31
41.69,-87.64,Hazard,Shoulder,3
41.69,-87.64,Hazard,Weather,3
41.69,-87.64,Road Closure,Unclassified,1
41.69,-87.64,Traffic Jam,Heavy,5
41.69,-87.64,Traffic Jam,Standstill,3
41.69,-87.64,Traffic Jam,Unclassified,12
41.69,-87.63,Accident,Major,1
41.69,-87.63,Accident,Minor,1
41.69,-87.63,Accident,Unclassified,2
41.69,-87.63,Hazard,Road,34
41.69,-87.63,Hazard,Shoulder,1
41.69,-87.63,Road Closure,Unclassified,2
41.69,-87.63,Traffic Jam,Standstill,2
41.69,-87.63,Traffic Jam,Unclassified,3
41.69,-87.62,Accident,Unclassified,4
41.69,-87.62,Hazard,Road,29
41.69,-87.62,Hazard,Weather,3
41.69,-87.62,Traffic Jam,Heavy,2
41.69,-87.62,Traffic Jam,Unclassified,4
41.69,-87.61,Accident,Major,2
41.69,-87.61,Accident,Unclassified,4
41.69,-87.61,Hazard,Road,42
41.69,-87.61,Hazard,Shoulder,4
41.69,-87.61,Hazard,Weather,4
41.69,-87.61,Road Closure,Unclassified,1
41.69,-87.61,Traffic Jam,Heavy,5
41.69,-87.61,Traffic Jam,Standstill,5
41.69,-87.61,Traffic Jam,Unclassified,13
41.69,-87.6,Accident,Major,52
41.69,-87.6,Accident,Minor,10
41.69,-87.6,Accident,Unclassified,107
41.69,-87.6,Hazard,Road,710
41.69,-87.6,Hazard,Shoulder,1538
41.69,-87.6,Hazard,Unclassified,15
41.69,-87.6,Hazard,Weather,67
41.69,-87.6,Road Closure,Event,4964
41.69,-87.6,Road Closure,Unclassified,10
41.69,-87.6,Traffic Jam,Heavy,658
41.69,-87.6,Traffic Jam,Moderate,11
41.69,-87.6,Traffic Jam,Standstill,460
41.69,-87.6,Traffic Jam,Unclassified,180
41.69,-87.59,Hazard,Road,2
41.69,-87.59,Traffic Jam,Standstill,1
41.69,-87.59,Traffic Jam,Unclassified,1
41.69,-87.58,Accident,Unclassified,1
41.69,-87.58,Hazard,Shoulder,8
41.69,-87.56,Accident,Major,1
41.69,-87.56,Accident,Unclassified,2
41.69,-87.56,Hazard,Road,15
41.69,-87.56,Hazard,Shoulder,5
41.69,-87.56,Hazard,Weather,3
41.7,-87.72,Accident,Unclassified,1
41.7,-87.72,Hazard,Road,12
41.7,-87.72,Hazard,Unclassified,7
41.7,-87.72,Traffic Jam,Unclassified,2
41.7,-87.71,Accident,Unclassified,2
41.7,-87.71,Hazard,Road,5
41.7,-87.71,Traffic Jam,Heavy,1
41.7,-87.71,Traffic Jam,Unclassified,3
41.7,-87.7,Hazard,Road,3
41.7,-87.7,Traffic Jam,Standstill,1
41.7,-87.7,Traffic Jam,Unclassified,7
41.7,-87.69,Accident,Major,1
41.7,-87.69,Accident,Unclassified,1
41.7,-87.69,Hazard,Road,3
41.7,-87.69,Road Closure,Unclassified,2
41.7,-87.69,Traffic Jam,Heavy,1
41.7,-87.69,Traffic Jam,Standstill,2
41.7,-87.69,Traffic Jam,Unclassified,4
41.7,-87.68,Accident,Minor,1
41.7,-87.68,Accident,Unclassified,4
41.7,-87.68,Hazard,Road,25
41.7,-87.68,Hazard,Shoulder,4
41.7,-87.68,Hazard,Weather,2
41.7,-87.68,Road Closure,Event,40
41.7,-87.68,Road Closure,Unclassified,2
41.7,-87.68,Traffic Jam,Heavy,4
41.7,-87.68,Traffic Jam,Standstill,5
41.7,-87.68,Traffic Jam,Unclassified,10
41.7,-87.67,Accident,Unclassified,2
41.7,-87.67,Hazard,Road,110
41.7,-87.67,Hazard,Shoulder,2
41.7,-87.67,Hazard,Weather,1
41.7,-87.67,Road Closure,Unclassified,3
41.7,-87.67,Traffic Jam,Standstill,3
41.7,-87.67,Traffic Jam,Unclassified,5
41.7,-87.66,Accident,Major,9
41.7,-87.66,Accident,Unclassified,9
41.7,-87.66,Hazard,Road,46
41.7,-87.66,Hazard,Shoulder,52
41.7,-87.66,Hazard,Weather,2
41.7,-87.66,Road Closure,Event,2
41.7,-87.66,Traffic Jam,Heavy,7
41.7,-87.66,Traffic Jam,Moderate,1
41.7,-87.66,Traffic Jam,Standstill,5
41.7,-87.66,Traffic Jam,Unclassified,6
41.7,-87.65,Accident,Major,1
41.7,-87.65,Accident,Unclassified,2
41.7,-87.65,Hazard,Road,23
41.7,-87.65,Hazard,Shoulder,1
41.7,-87.65,Hazard,Weather,1
41.7,-87.65,Road Closure,Unclassified,2
41.7,-87.65,Traffic Jam,Heavy,4
41.7,-87.65,Traffic Jam,Unclassified,5
41.7,-87.64,Accident,Unclassified,2
41.7,-87.64,Hazard,Road,30
41.7,-87.64,Hazard,Shoulder,2
41.7,-87.64,Hazard,Weather,1
41.7,-87.64,Road Closure,Unclassified,6
41.7,-87.64,Traffic Jam,Heavy,2
41.7,-87.64,Traffic Jam,Standstill,1
41.7,-87.64,Traffic Jam,Unclassified,7
41.7,-87.63,Accident,Unclassified,1
41.7,-87.63,Hazard,Road,25
41.7,-87.63,Hazard,Shoulder,1
41.7,-87.63,Traffic Jam,Unclassified,1
41.7,-87.62,Accident,Major,1
41.7,-87.62,Accident,Unclassified,4
41.7,-87.62,Hazard,Road,17
41.7,-87.62,Hazard,Shoulder,2
41.7,-87.62,Hazard,Weather,2
41.7,-87.62,Road Closure,Unclassified,1
41.7,-87.62,Traffic Jam,Unclassified,9
41.7,-87.61,Accident,Major,1
41.7,-87.61,Accident,Unclassified,4
41.7,-87.61,Hazard,Road,63
41.7,-87.61,Hazard,Shoulder,3
41.7,-87.61,Hazard,Weather,3
41.7,-87.61,Road Closure,Unclassified,1
41.7,-87.61,Traffic Jam,Unclassified,2
41.7,-87.6,Accident,Major,33
41.7,-87.6,Accident,Minor,1
41.7,-87.6,Accident,Unclassified,30
41.7,-87.6,Hazard,Road,159
41.7,-87.6,Hazard,Shoulder,784
41.7,-87.6,Hazard,Unclassified,2
41.7,-87.6,Hazard,Weather,19
41.7,-87.6,Road Closure,Unclassified,2
41.7,-87.6,Traffic Jam,Heavy,227
41.7,-87.6,Traffic Jam,Moderate,6
41.7,-87.6,Traffic Jam,Standstill,130
41.7,-87.6,Traffic Jam,Unclassified,56
41.7,-87.59,Accident,Major,26
41.7,-87.59,Accident,Minor,6
41.7,-87.59,Accident,Unclassified,70
41.7,-87.59,Hazard,Road,285
41.7,-87.59,Hazard,Shoulder,1531
41.7,-87.59,Hazard,Unclassified,9
41.7,-87.59,Hazard,Weather,46
41.7,-87.59,Traffic Jam,Heavy,496
41.7,-87.59,Traffic Jam,Moderate,7
41.7,-87.59,Traffic Jam,Standstill,235
41.7,-87.59,Traffic Jam,Unclassified,133
41.7,-87.58,Hazard,Road,5
41.7,-87.58,Hazard,Shoulder,3
41.7,-87.58,Traffic Jam,Standstill,1
41.7,-87.57,Hazard,Road,3
41.7,-87.57,Hazard,Weather,1
41.7,-87.56,Accident,Unclassified,2
41.7,-87.56,Hazard,Road,16
41.7,-87.56,Hazard,Shoulder,6
41.7,-87.56,Hazard,Weather,3
41.7,-87.56,Traffic Jam,Heavy,2
41.7,-87.56,Traffic Jam,Standstill,4
41.7,-87.56,Traffic Jam,Unclassified,4
41.71,-87.72,Accident,Unclassified,1
41.71,-87.72,Hazard,Road,2
41.71,-87.72,Hazard,Unclassified,1
41.71,-87.72,Traffic Jam,Unclassified,1
41.71,-87.71,Accident,Unclassified,1
41.71,-87.7,Accident,Major,1
41.71,-87.7,Traffic Jam,Unclassified,3
41.71,-87.69,Accident,Major,1
41.71,-87.69,Accident,Unclassified,2
41.71,-87.69,Hazard,Road,23
41.71,-87.69,Hazard,Shoulder,2
41.71,-87.69,Hazard,Weather,1
41.71,-87.69,Road Closure,Unclassified,1
41.71,-87.69,Traffic Jam,Heavy,12
41.71,-87.69,Traffic Jam,Standstill,11
41.71,-87.69,Traffic Jam,Unclassified,5
41.71,-87.68,Accident,Major,1
41.71,-87.68,Accident,Minor,1
41.71,-87.68,Accident,Unclassified,7
41.71,-87.68,Hazard,Road,26
41.71,-87.68,Hazard,Shoulder,2
41.71,-87.68,Hazard,Weather,5
41.71,-87.68,Road Closure,Event,2
41.71,-87.68,Traffic Jam,Heavy,50
41.71,-87.68,Traffic Jam,Moderate,1
41.71,-87.68,Traffic Jam,Standstill,16
41.71,-87.68,Traffic Jam,Unclassified,55
41.71,-87.67,Accident,Unclassified,4
41.71,-87.67,Hazard,Road,47
41.71,-87.67,Hazard,Shoulder,4
41.71,-87.67,Hazard,Weather,3
41.71,-87.67,Road Closure,Unclassified,1
41.71,-87.67,Traffic Jam,Heavy,40
41.71,-87.67,Traffic Jam,Moderate,2
41.71,-87.67,Traffic Jam,Standstill,6
41.71,-87.67,Traffic Jam,Unclassified,29
41.71,-87.66,Accident,Major,4
41.71,-87.66,Accident,Minor,1
41.71,-87.66,Accident,Unclassified,14
41.71,-87.66,Hazard,Road,71
41.71,-87.66,Hazard,Shoulder,8
41.71,-87.66,Hazard,Weather,3
41.71,-87.66,Road Closure,Unclassified,6
41.71,-87.66,Traffic Jam,Heavy,95
41.71,-87.66,Traffic Jam,Moderate,1
41.71,-87.66,Traffic Jam,Standstill,30
41.71,-87.66,Traffic Jam,Unclassified,55
41.71,-87.65,Accident,Major,4
41.71,-87.65,Accident,Minor,1
41.71,-87.65,Accident,Unclassified,18
41.71,-87.65,Hazard,Road,202
41.71,-87.65,Hazard,Shoulder,59
41.71,-87.65,Hazard,Unclassified,1
41.71,-87.65,Hazard,Weather,8
41.71,-87.65,Traffic Jam,Heavy,110
41.71,-87.65,Traffic Jam,Moderate,2
41.71,-87.65,Traffic Jam,Standstill,88
41.71,-87.65,Traffic Jam,Unclassified,36
41.71,-87.64,Accident,Major,20
41.71,-87.64,Accident,Minor,1
41.71,-87.64,Accident,Unclassified,43
41.71,-87.64,Hazard,Road,123
41.71,-87.64,Hazard,Shoulder,80
41.71,-87.64,Hazard,Unclassified,2
41.71,-87.64,Hazard,Weather,2
41.71,-87.64,Road Closure,Event,4947
41.71,-87.64,Road Closure,Unclassified,31
41.71,-87.64,Traffic Jam,Heavy,104
41.71,-87.64,Traffic Jam,Standstill,62
41.71,-87.64,Traffic Jam,Unclassified,34
41.71,-87.63,Accident,Major,6
41.71,-87.63,Accident,Minor,1
41.71,-87.63,Accident,Unclassified,8
41.71,-87.63,Hazard,Road,49
41.71,-87.63,Hazard,Shoulder,164
41.71,-87.63,Hazard,Weather,3
41.71,-87.63,Road Closure,Unclassified,2
41.71,-87.63,Traffic Jam,Heavy,78
41.71,-87.63,Traffic Jam,Moderate,4
41.71,-87.63,Traffic Jam,Standstill,57
41.71,-87.63,Traffic Jam,Unclassified,19
41.71,-87.62,Accident,Major,19
41.71,-87.62,Accident,Minor,5
41.71,-87.62,Accident,Unclassified,48
41.71,-87.62,Hazard,Road,196
41.71,-87.62,Hazard,Shoulder,894
41.71,-87.62,Hazard,Unclassified,6
41.71,-87.62,Hazard,Weather,4
41.71,-87.62,Traffic Jam,Heavy,412
41.71,-87.62,Traffic Jam,Moderate,12
41.71,-87.62,Traffic Jam,Standstill,114
41.71,-87.62,Traffic Jam,Unclassified,199
41.71,-87.61,Accident,Major,81
41.71,-87.61,Accident,Minor,12
41.71,-87.61,Accident,Unclassified,138
41.71,-87.61,Hazard,Road,429
41.71,-87.61,Hazard,Shoulder,2186
41.71,-87.61,Hazard,Unclassified,7
41.71,-87.61,Hazard,Weather,22
41.71,-87.61,Road Closure,Event,10
41.71,-87.61,Road Closure,Unclassified,31
41.71,-87.61,Traffic Jam,Heavy,505
41.71,-87.61,Traffic Jam,Moderate,20
41.71,-87.61,Traffic Jam,Standstill,232
41.71,-87.61,Traffic Jam,Unclassified,221
41.71,-87.6,Accident,Major,21
41.71,-87.6,Accident,Minor,9
41.71,-87.6,Accident,Unclassified,74
41.71,-87.6,Hazard,Road,397
41.71,-87.6,Hazard,Shoulder,1636
41.71,-87.6,Hazard,Unclassified,8
41.71,-87.6,Hazard,Weather,8
41.71,-87.6,Traffic Jam,Heavy,614
41.71,-87.6,Traffic Jam,Moderate,23
41.71,-87.6,Traffic Jam,Standstill,241
41.71,-87.6,Traffic Jam,Unclassified,172
41.71,-87.59,Accident,Major,32
41.71,-87.59,Accident,Minor,8
41.71,-87.59,Accident,Unclassified,42
41.71,-87.59,Hazard,Road,567
41.71,-87.59,Hazard,Shoulder,1109
41.71,-87.59,Hazard,Unclassified,11
41.71,-87.59,Hazard,Weather,55
41.71,-87.59,Traffic Jam,Heavy,410
41.71,-87.59,Traffic Jam,Moderate,16
41.71,-87.59,Traffic Jam,Standstill,191
41.71,-87.59,Traffic Jam,Unclassified,137
41.71,-87.58,Accident,Major,8
41.71,-87.58,Accident,Minor,1
41.71,-87.58,Accident,Unclassified,16
41.71,-87.58,Hazard,Road,118
41.71,-87.58,Hazard,Shoulder,237
41.71,-87.58,Hazard,Unclassified,2
41.71,-87.58,Hazard,Weather,9
41.71,-87.58,Road Closure,Unclassified,8
41.71,-87.58,Traffic Jam,Heavy,17
41.71,-87.58,Traffic Jam,Standstill,30
41.71,-87.58,Traffic Jam,Unclassified,7
41.71,-87.57,Accident,Unclassified,5
41.71,-87.57,Hazard,Road,44
41.71,-87.57,Hazard,Shoulder,13
41.71,-87.57,Traffic Jam,Heavy,5
41.71,-87.57,Traffic Jam,Standstill,2
41.71,-87.57,Traffic Jam,Unclassified,5
41.71,-87.56,Accident,Unclassified,9
41.71,-87.56,Hazard,Road,23
41.71,-87.56,Hazard,Shoulder,8
41.71,-87.56,Hazard,Weather,1
41.71,-87.56,Traffic Jam,Heavy,19
41.71,-87.56,Traffic Jam,Standstill,10
41.71,-87.56,Traffic Jam,Unclassified,6
41.72,-87.68,Accident,Unclassified,6
41.72,-87.68,Hazard,Road,24
41.72,-87.68,Hazard,Shoulder,3
41.72,-87.68,Hazard,Unclassified,3
41.72,-87.68,Traffic Jam,Heavy,18
41.72,-87.68,Traffic Jam,Standstill,6
41.72,-87.68,Traffic Jam,Unclassified,13
41.72,-87.67,Accident,Unclassified,4
